HotelCode,AverageCost,RoundedAverageCost
19ccc8,924.04,924.04
1014c9,443.8933333333334,443.89
128169,818.3927272727273,818.39
10085e,316.4920000000001,316.49
16b47c,273.29999999999995,273.3
10abd5,154.10352941176473,154.1
11173c,596.1955882352942,596.2
109293,867.1018518518517,867.1
19448b,2871.399635036496,2871.4
12557a,559.44,559.44
10a0e5,17766.414565217394,17766.41
10a376,2132.045,2132.05
168ae7,533.6675,533.67
10b726,231.9063636363636,231.91
10bcea,178.1982608695652,178.2
113cd3,544.5208333333333,544.52
111d45,2074.08,2074.08
120291,1931.835769230769,1931.84
1013b5,1017.8,1017.8
13ea14,183.74666666666667,183.75
10b3c6,205.61609756097565,205.62
10b97a,272.20666666666665,272.21
10b768,150.87,150.87
107008,231.40545454545455,231.41
10a0e2,2107.0,2107.0
10bcf1,570.3268181818182,570.33
109882,884.03,884.03
10b4cc,366.351875,366.35
113f11,218.67000000000002,218.67
1147ac,652.4143750000001,652.41
105e4e,1761.6666666666667,1761.67
107155,2637.43,2637.43
102d21,1282.5439999999999,1282.54
156790,589.5106666666667,589.51
196015,2316.50375,2316.5
12815b,324.45,324.45
10b72c,280.6133333333333,280.61
19d80b,591.879,591.88
196058,1060.817894736842,1060.82
1091d3,1330.5635106382977,1330.56
175e1e,1131.0,1131.0
109343,517.37,517.37
10b4a4,145.9777777777778,145.98
10a525,2502.6237499999997,2502.62
1096e2,769.9100000000001,769.91
134d3a,427.90756756756764,427.91
10b319,253.38958333333338,253.39
10c9ea,187.868,187.87
128f9a,306.81166666666667,306.81
10731f,1849.92,1849.92
110f74,2294.7375,2294.74
11404a,1075.3333333333333,1075.33
10aa55,2220.6666666666665,2220.67
10c5c1,967.5871428571428,967.59
10b692,164.81363636363633,164.81
107af1,2908.4399999999996,2908.44
195f9f,19821.21,19821.21
131b75,990.73,990.73
11e2e7,313.375,313.38
10b361,328.1975,328.2
1168a8,185.79,185.79
165ff0,3422.16,3422.16
183444,941.6,941.6
1091d7,782.5658823529411,782.57
10c64d,176.75,176.75
10b4fe,209.7,209.7
10c5bb,234.32999999999998,234.33
19061d,82.68,82.68
10708e,1251.49,1251.49
1337b4,570.6392307692306,570.64
1b2ed6,1123.865,1123.87
197bd4,439.53833333333336,439.54
10fcc5,905.7296153846154,905.73
12938d,712.1332352941179,712.13
1185a2,2529.694642857143,2529.69
109228,5549.386500000001,5549.39
10aeff,2646.0,2646.0
11947a,1075.5266666666666,1075.53
110f81,642.1149999999999,642.11
10929f,876.904285714286,876.9
192dff,289.6181250000001,289.62
1b3712,987.8577777777779,987.86
1091e9,2933.482461538462,2933.48
10bd77,279.5657692307693,279.57
10b55f,622.6663157894736,622.67
10bb87,202.8,202.8
10b454,236.33,236.33
10926a,1687.1019008264468,1687.1
1091cd,900.9389743589744,900.94
1264b0,736.3701086956523,736.37
10c09b,1003.53,1003.53
16c194,68.57000000000001,68.57
13b302,3036.5365714285713,3036.54
105f12,523.3619047619047,523.36
11ef5a,770.665,770.67
126148,1068.0,1068.0
1030cb,315.27727272727276,315.28
151f72,440.23857142857145,440.24
1159ac,482.19833333333327,482.2
10b296,828.4825,828.48
1014bd,1941.7512499999993,1941.75
1161fb,442.95874999999995,442.96
102718,247.53045454545452,247.53
168ee0,1321.2930769230763,1321.29
10799a,1419.293333333333,1419.29
15898d,331.9,331.9
110669,2231.68,2231.68
13a93e,246.96166666666667,246.96
131c7e,2373.6142168674705,2373.61
105c3a,1094.07,1094.07
1070a5,2692.6033333333335,2692.6
10b441,280.2663636363637,280.27
1b47a2,336.4666666666667,336.47
120536,1123.5,1123.5
1127bf,1180.3785294117645,1180.38
1092b1,882.0245098039214,882.02
1239a8,594.8002631578948,594.8
109205,3394.92375,3394.92
15df62,3301.2252173913034,3301.23
109848,1013.1445454545454,1013.14
1b3e8a,13600.0,13600.0
10baa1,856.56625,856.57
10c1d6,651.0045454545453,651.0
175e0e,1212.2292929292926,1212.23
113816,465.89428571428573,465.89
10b577,212.7,212.7
10ebbd,699.6111111111111,699.61
110f95,1219.295,1219.3
11025a,55.79100000000001,55.79
126d68,630.9275757575758,630.93
122e1e,837.48,837.48
1138c3,193.57125,193.57
131474,3770.0,3770.0
103137,1424.7466666666667,1424.75
1a0d5c,5820.359392265195,5820.36
10c03f,240.09211538461537,240.09
10b3c8,238.10585365853663,238.11
1b390c,953.8928571428571,953.89
1029cb,194.5817647058823,194.58
10c3b4,290.34,290.34
10bacf,362.12568181818176,362.13
11e727,221.125,221.13
1071bf,1256.05,1256.05
10bbc2,645.0885714285713,645.09
12f4bd,68.14833333333334,68.15
13fe0f,492.66,492.66
1111bb,682.0,682.0
10793e,14658.223571428573,14658.22
185c73,730.6852702702704,730.69
109211,629.3899999999999,629.39
10920f,1392.44,1392.44
10cbaa,267.59250000000003,267.59
1a0793,317.0385714285714,317.04
112468,1540.4280303030296,1540.43
10920a,776.7051162790701,776.71
10b323,174.1,174.1
14e6f9,1127.9216666666666,1127.92
10b84b,476.88200000000006,476.88
107311,4746.915151515152,4746.92
11a3b4,2088.3660000000004,2088.37
129bb2,1062.4391428571425,1062.44
16581f,3385.13,3385.13
10920d,2983.5071844660188,2983.51
109d2c,8493.1875,8493.19
1091e3,2675.7229032258056,2675.72
10fb57,581.45,581.45
10bfc0,436.0865217391305,436.09
1091fe,705.9167500000001,705.92
109446,730.2476923076922,730.25
10625c,754.04,754.04
